#{"t_start": 1626796481.666681, "env_id": "fertilization-v0"}
r,l,t
-2300.658803,30,36.346251
-2406.708774,30,37.705989
-1988.716126,30,38.852236
-2004.035478,30,39.96534
-2481.494182,30,40.926576
-2633.597708,30,41.843905
-3018.343899,30,42.756986
-2658.800166,30,43.676496
-2013.01976,30,44.600502
-2192.006391,30,45.524532
-2150.289951,30,46.438546
-2298.44793,30,47.35347
-2257.876693,30,48.271777
-2344.023501,30,49.258225
-1542.927371,30,50.20857
-1824.929642,30,51.122583
-2997.652527,30,52.044327
-2424.035478,30,52.995652
-2315.84857,30,53.927532
-2233.837079,30,54.84991
-2392.504198,30,55.77695
-2740.755589,30,56.705803
-3065.323484,30,57.632705
-2585.553577,30,58.562068
-2630.319308,30,59.492184
-1991.000302,30,60.409848
-2226.719908,30,61.331109
-2109.867949,30,62.25444
-2722.470593,30,63.18514
-2099.439123,30,64.103908
-1992.613609,30,65.028421
-2040.432499,30,65.954698
-2657.384539,30,67.03212
-2205.006135,30,67.959078
-2895.111795,30,70.313006
-2053.16002,30,71.251309
-2273.690233,30,72.1738
-2495.323484,30,73.105198
-2752.50132,30,74.027376
-2507.985158,30,74.940878
-2342.938437,30,75.864323
-2281.080633,30,76.788718
-2621.179392,30,77.710491
-1914.919635,30,78.625284
-2517.052545,30,79.541235
-2028.105422,30,80.456878
-2722.50132,30,81.37621
-2116.210474,30,82.306588
-2560.262734,30,83.237305
-2225.07854,30,84.16333
-2299.887478,30,85.081638
-2633.759279,30,86.003681
-2848.900471,30,86.959677
-2791.691186,30,87.884381
-2303.584284,30,88.815495
-3464.84915,30,89.760094
-2500.051157,30,90.681134
-2501.793184,30,91.625105
-2488.217572,30,92.564802
-2209.345608,30,93.506363
-2328.800166,30,94.441921
-2619.085441,30,95.373548
-2260.051157,30,96.297157
-2127.775853,30,97.220892
-1643.759279,30,98.145018
-2763.121609,30,99.071121
-2370.432499,30,99.995678
-1945.641728,30,100.929216
-2014.997371,30,102.239368
-2273.759279,30,103.171554
-2327.695729,30,104.096129
-2902.470593,30,105.024829
-2941.536979,30,105.9521
-2413.16002,30,106.887228
-2727.124547,30,107.811614
-2454.146163,30,108.731697
-2067.775853,30,109.655259
-2279.219075,30,110.575876
-2652.296037,30,111.506978
-2172.40399,30,112.438086
-1572.480975,30,113.358007
-2469.930844,30,114.284404
-2735.84857,30,115.22344
-1824.573008,30,116.142807
-2678.433445,30,117.077397
-2417.85261,30,118.003309
-3002.938437,30,118.921121
-2902.50132,30,119.843503
-2577.124547,30,120.761111
-2319.867949,30,121.683993
-2225.07854,30,122.601835
-2225.156813,30,123.530909
-2697.052545,30,124.458922
-2255.07854,30,125.378087
-1858.264697,30,126.303181
-2792.938437,30,127.222004
-2483.597708,30,128.143367
-2257.278577,30,129.070367
-2349.930844,30,130.00421
-2189.87964,30,130.926437
-2495.553577,30,131.853159
-2055.111795,30,132.775161
-1886.291433,30,134.066368
-2813.597708,30,134.995069
-2101.401007,30,135.92243
-1979.439123,30,136.845117
-1854.035478,30,137.768997
-2852.091657,30,138.688864
-2241.471814,30,139.608215
-2635.677104,30,140.535816
-2236.241841,30,141.463387
-2359.296445,30,142.385554
-2066.050101,30,143.303636
-2326.241841,30,144.22899
-2747.184101,30,145.150903
-2506.503408,30,146.067696
-3363.856579,30,147.00212
-2033.690233,30,147.929053
-2305.284906,30,148.848921
-1988.716126,30,149.773926
-2560.755589,30,150.69322
-2542.504198,30,151.627391
-2341.080633,30,152.557482
-2379.251879,30,153.479397
-2335.284906,30,154.406792
-2064.929642,30,155.325449
-2597.384539,30,156.246073
-2889.085441,30,157.167083
-2046.719908,30,158.096703
-2447.985158,30,159.014605
-2755.284906,30,159.928589
-2970.0,30,160.849185
-3312.40399,30,161.774126
-1959.05529,30,162.712174
-1724.27478,30,163.637991
-2134.997371,30,164.562493
-2801.793184,30,165.862115
-3024.448761,30,166.809912
-3161.30586,30,167.743069
-2142.452015,30,168.66951
-2036.998912,30,169.590335
-2360.572239,30,170.512779
-2792.006391,30,171.429288
-2838.105422,30,172.349365
-3213.121609,30,173.271817
-2910.0,30,174.204211
-2447.648793,30,175.127134
-2606.213436,30,176.052904
-2716.543956,30,176.976532
-2317.391289,30,177.912961
-2536.8649,30,178.851226
-2214.929458,30,179.786196
-2403.01976,30,180.707244
-2802.480975,30,181.641746
-2139.085441,30,182.60955
-2568.105422,30,183.530769
-2820.0,30,184.446545
-2118.105422,30,185.366565
-2164.023501,30,186.28674
-2609.87964,30,187.205957
-1901.000302,30,188.128508
-2493.856579,30,189.044235
-1912.470593,30,189.962959
-2523.856579,30,190.885949
-2757.762676,30,191.806516
-2052.551183,30,192.73202
-2471.179392,30,193.654034
-2376.708774,30,194.573372
-2704.293895,30,195.496085
-2112.40399,30,196.415158
-2236.8649,30,197.703816
-2030.289951,30,198.626131
-2683.837079,30,199.552906
-1991.707777,30,200.47711
-2477.648793,30,201.396142
-2883.180988,30,202.320873
-2771.793184,30,203.239004
-1839.05529,30,204.162463
-2649.867949,30,205.092674
-2585.771067,30,206.022815
-2199.05529,30,206.94882
-2563.16002,30,207.876831
-2087.384539,30,208.815238
-2940.0,30,209.74806
-2385.006135,30,210.672982
-2426.998912,30,211.615019
-1587.110038,30,212.534998
-2269.526613,30,213.481771
-2517.052545,30,214.403628
-2328.800166,30,215.353381
-2266.8649,30,216.294309
-2250.432499,30,217.21931
-2430.0,30,218.142321
-2066.316483,30,219.089272
-2274.919635,30,220.018627
-2513.535478,30,220.95323
-2456.860209,30,221.87887
-2299.526613,30,222.810195
-3174.573008,30,223.737702
-2765.603918,30,224.66473
-2475.006135,30,225.594956
-2034.961548,30,226.525532
-2280.0,30,227.467281
-2948.433686,30,228.400093
-2366.213436,30,229.699036
-2123.66276,30,230.636331
-2816.844882,30,231.567528
-2567.695729,30,232.504544
-2852.567091,30,233.442077
-2667.9717,30,234.371955
-1786.423566,30,235.313968
-1796.842813,30,236.252298
-1953.535362,30,237.186608
-2125.140855,30,238.12287
-2425.641728,30,239.06608
-3105.111795,30,240.003849
-2209.451723,30,240.941636
-1855.896322,30,241.87613
-2844.183097,30,242.81466
-2783.584284,30,243.750845
-2005.241474,30,244.675558
-2467.470424,30,245.606069
-3069.085441,30,246.534909
-2852.091657,30,247.463965
-2725.641728,30,248.391144
-2750.289951,30,249.323415
-2428.702807,30,250.272239
-3268.264697,30,251.210966
-1999.431349,30,252.144994
-3025.284906,30,253.069727
-2431.754684,30,253.995897
-2227.470424,30,254.922261
-2634.146163,30,255.853177
-2382.927371,30,256.790141
-2388.177313,30,257.725153
-2517.320436,30,258.674643
-2148.343899,30,259.617171
-2569.818154,30,260.552661
-3018.44793,30,261.849903
-2471.793184,30,262.776208
-1900.906234,30,263.700179
-2794.732262,30,264.62627
-2628.166039,30,265.552696
-2550.0,30,266.480649
-2858.362926,30,267.403835
-2253.469164,30,268.329486
-2556.545244,30,269.268146
-2547.052545,30,270.19105
-2952.811425,30,271.111903
-2533.16002,30,272.040179
-1831.536979,30,272.970519
-2167.391289,30,273.905318
-2310.562533,30,274.830312
-2760.0,30,275.762481
-2027.648793,30,276.696486
-2371.754684,30,277.620284
-2584.5612,30,278.539661
-2777.985158,30,279.471408
-2127.804472,30,280.39252
-2082.40399,30,281.320084
-2121.920168,30,282.244071
-2221.468469,30,283.172473
-2117.460782,30,284.096666
-2305.896322,30,285.021703
-1916.860209,30,285.945333
-2665.909862,30,286.871606
-2781.623308,30,287.819648
-2518.264697,30,288.748751
-2455.700439,30,289.677324
-2758.702807,30,290.606624
-2527.278577,30,291.533556
-2304.573008,30,292.468686
-1800.562533,30,293.397928
-2606.998912,30,294.710041
-2169.596892,30,295.645292
-2957.460782,30,296.573219
-2161.401007,30,297.505544
-2390.410602,30,298.445779
-2309.439123,30,299.375595
-2434.293895,30,300.306811
-2653.78546,30,301.247964
-1878.239016,30,302.183464
-1758.102334,30,303.115029
-2391.920168,30,304.057379
-2263.78546,30,304.997933
-2510.289951,30,305.930557
-2451.920168,30,306.867045
-2259.251879,30,307.804823
-2555.553577,30,308.731413
-2186.860209,30,309.663296
-2509.453861,30,310.59959
-2712.064077,30,311.528273
-2637.652527,30,312.45952
-2242.504198,30,313.399505
-2700.0,30,314.337142
-1932.480975,30,315.278418
-2802.452015,30,316.211696
-2593.78546,30,317.141195
-2670.0,30,318.06213
-2322.551183,30,318.986096
-2823.222989,30,319.908926
-2589.930844,30,320.832839
-2318.952963,30,321.763447
-2114.440764,30,322.689365
-1788.44793,30,323.613011
-2301.920168,30,324.537154
-1812.927371,30,325.459525
-2331.471814,30,326.756064
-2724.929458,30,327.694984
-3548.433445,30,328.618241
-2060.572239,30,329.54787
-2566.977954,30,330.478351
-2397.110038,30,331.409045
-2860.051157,30,332.336812
-1961.000302,30,333.261483
-2886.545244,30,334.1877
-1916.860209,30,335.11102
-2384.84915,30,336.04542
-2882.567091,30,336.971529
-2118.102334,30,337.904404
-2278.162946,30,338.839986
-2638.273176,30,339.772136
-2507.184101,30,340.700374
-2836.543956,30,341.626834
-2490.0,30,342.549758
-2478.102334,30,343.474984
-1735.140855,30,344.403418
-2430.0,30,345.325028
-3204.146163,30,346.249901
-2289.251879,30,347.180553
-2433.469164,30,348.10852
-2235.006135,30,349.031778
-2223.469164,30,349.96473
-2585.603918,30,350.90193
-1812.927371,30,351.851392
-1929.596892,30,352.784174
-1900.545137,30,353.710412
-2424.919635,30,354.640778
-2581.401007,30,355.564883
-2478.177313,30,356.495271
-1727.384539,30,357.417289
